id,Question image,correct answer,explanation,difficulty level
NV_Top_1,NV_Top_1.png,B,The layering rule is: White is in Front of Silver. Option B breaks this order.,1
NV_Top_2,NV_Top_2.png,E,The layering rule is: Silver is in Front of White. Option E breaks this order.,1
NV_Top_3,NV_Top_3.png,B,The layering rule is: Silver is in Front of White. Option B breaks this order.,1
NV_Top_4,NV_Top_4.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,1
NV_Top_5,NV_Top_5.png,C,The layering rule is: White is in Front of Silver. Option C breaks this order.,1
NV_Top_6,NV_Top_6.png,A,The layering rule is: Silver is in Front of White. Option A breaks this order.,1
NV_Top_7,NV_Top_7.png,C,The layering rule is: White is in Front of Silver. Option C breaks this order.,1
NV_Top_8,NV_Top_8.png,D,The layering rule is: Silver is in Front of White. Option D breaks this order.,1
NV_Top_9,NV_Top_9.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,1
NV_Top_10,NV_Top_10.png,A,The layering rule is: Silver is in Front of White. Option A breaks this order.,1
NV_Top_11,NV_Top_11.png,B,The layering rule is: White is in Front of Silver. Option B breaks this order.,1
NV_Top_12,NV_Top_12.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,1
NV_Top_13,NV_Top_13.png,E,The layering rule is: White is in Front of Silver. Option E breaks this order.,1
NV_Top_14,NV_Top_14.png,A,The layering rule is: White is in Front of Silver. Option A breaks this order.,1
NV_Top_15,NV_Top_15.png,B,The layering rule is: Silver is in Front of White. Option B breaks this order.,1
NV_Top_16,NV_Top_16.png,E,The layering rule is: White is in Front of Silver. Option E breaks this order.,1
NV_Top_17,NV_Top_17.png,E,The layering rule is: Silver is in Front of White. Option E breaks this order.,1
NV_Top_18,NV_Top_18.png,C,The layering rule is: Silver is in Front of White. Option C breaks this order.,1
NV_Top_19,NV_Top_19.png,D,The layering rule is: Silver is in Front of White. Option D breaks this order.,1
NV_Top_20,NV_Top_20.png,B,The layering rule is: White is in Front of Silver. Option B breaks this order.,1
NV_Top_21,NV_Top_21.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,1
NV_Top_22,NV_Top_22.png,B,The layering rule is: White is in Front of Silver. Option B breaks this order.,1
NV_Top_23,NV_Top_23.png,A,The layering rule is: Silver is in Front of White. Option A breaks this order.,1
NV_Top_24,NV_Top_24.png,A,The layering rule is: Silver is in Front of White. Option A breaks this order.,1
NV_Top_25,NV_Top_25.png,A,The layering rule is: White is in Front of Silver. Option A breaks this order.,1
NV_Top_26,NV_Top_26.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,3
NV_Top_27,NV_Top_27.png,E,The layering rule is: Order is Silver (Front) > White > Black (Back). Option E breaks this order.,3
NV_Top_28,NV_Top_28.png,D,The layering rule is: White is in Front of Silver. Option D breaks this order.,3
NV_Top_29,NV_Top_29.png,C,The layering rule is: Silver is in Front of White. Option C breaks this order.,3
NV_Top_30,NV_Top_30.png,C,The layering rule is: Silver is in Front of White. Option C breaks this order.,3
NV_Top_31,NV_Top_31.png,D,The layering rule is: Silver is in Front of White. Option D breaks this order.,3
NV_Top_32,NV_Top_32.png,E,The layering rule is: White is in Front of Silver. Option E breaks this order.,3
NV_Top_33,NV_Top_33.png,A,The layering rule is: White is in Front of Silver. Option A breaks this order.,3
NV_Top_34,NV_Top_34.png,A,The layering rule is: Silver is in Front of White. Option A breaks this order.,3
NV_Top_35,NV_Top_35.png,C,The layering rule is: Order is Silver (Front) > Black > White (Back). Option C breaks this order.,3
NV_Top_36,NV_Top_36.png,B,The layering rule is: Order is White (Front) > Silver > Black (Back). Option B breaks this order.,3
NV_Top_37,NV_Top_37.png,A,The layering rule is: Order is White (Front) > Silver > Black (Back). Option A breaks this order.,3
NV_Top_38,NV_Top_38.png,C,The layering rule is: Order is Silver (Front) > White > Black (Back). Option C breaks this order.,3
NV_Top_39,NV_Top_39.png,C,The layering rule is: Silver is in Front of White. Option C breaks this order.,3
NV_Top_40,NV_Top_40.png,B,The layering rule is: White is in Front of Silver. Option B breaks this order.,3
NV_Top_41,NV_Top_41.png,B,The layering rule is: Silver is in Front of White. Option B breaks this order.,3
NV_Top_42,NV_Top_42.png,C,The layering rule is: Order is White (Front) > Black > Silver (Back). Option C breaks this order.,3
NV_Top_43,NV_Top_43.png,E,The layering rule is: Order is Silver (Front) > Black > White (Back). Option E breaks this order.,3
